27.55 12
0.36 1.1
0.18 2.3
0.29 0.1
0.19 0.2
0.56 0.1
0.13 0.3
0.23 0.5
1.54 0.4
0.24 0.2
0.09 0.1
1.12 1.3
4.18 7.8
5.28 4.8
0.28 0.2
0.12 0.5
0.09 0.2
0.09 0.1
1.08 0.1
0.36 0.6
0.62 0.1
0.09 0.2
0.4 0.3
0.23 0.1
2.85 3.2
0.89 1.3
0.51 3.3
0.23 0.3
5.86 1.3
1.66 0.1
1.32 0.7
0.78 1.4
0.28 0.1
2.81 6.1
0.54 0.3
1.46 0.5
21.46 19.1
3.41 1.7
0.19 0.1
3.52 0.3
22.59 4.6
0.11 0.1
1.42 0.6
1.76 0.4
2.07 3
0.02 0.1
0.19 0.5
1.49 0.6
0.39 0.2
0.61 0.3
1.3 0.4
1.82 0.4
0.45 0.2
0.13 0.1
1.38 1.3
3.54 1.9
0.53 0.3
48.56 1.3
0.36 0.1
2.29 17.8
0.54 0.2
0.1 0.1
2.34 0.1
20.17 2.7
2.68 1
45.59 2.7
36.25 0.1
5.07 0.7
3.94 0.1
5.93 5.2
0.99 0.5
0.37 0.5
0.68 0.2
4.54 2.8
0.09 0.3
46.14 6.3
0.7 2.7
1.08 8
0.41 0.4
38.26 2.4
2.44 0.2
3.37 0.4
0.57 0.3
0.82 0.4
0.14 0.1
0.1 0.2
0.38 0.1
11.47 5.5
0.82 0.7
5.33 1.8
1.35 0.5
0.96 0.1
0.04 0.1
0.11 0.6
0.21 0.1
1.83 12
0.03 0.1
5.41 1.7
2.05 3.6
5.12 2
1.56 0.2
4.19 1.2
0.05 0.4
0.45 0.3
6 6.6
2.14 2.1
3.11 0.8
1.83 0.4
5.42 0.4
2.67 12.5
0.63 0.1
1.25 0.2
1.85 1
0.5 0.1
0.42 0.5
1.07 0.4
0.69 0.1
0.36 0.3
1.15 0.1
8.59 2.9
5.23 0.9
0.82 0.9
0.63 1.1
1.17 13.7
1.95 5.8
5.12 5.6
2.88 1.4
31.66 0.7
11.48 6.4
1.58 0.3
1.71 2.1
1.72 0.5
0.23 0.4
1.99 1.6
4.3 5.6
1 1.4
0.28 0.2
0.41 0.1
0.27 0.5
0.97 1
9.13 7.3
17.38 5.7
0.26 0.1
2.26 0.5
4.85 0.8
0.59 0.1
0.31 0.7
2.87 0.5
0.06 0.1
2.79 2.1
2.24 0.6
1 0.1
1.61 1.1
1.22 0.3
50 0.1
0.22 0.4
0.95 6.4
0.04 0.1
0.06 0.2
1.36 0.1
1.2 1.8
2.57 0.2
0.16 0.2
9.13 0.5
2.84 0.3
10.49 0.2
0.19 0.2
6.72 7.1
0.03 0.1
0.05 0.1
0.47 1
1.44 1.6
0.03 0.1
0.26 0.2
1.79 1
6.55 0.1
0.01 0.1
4.96 3.2
0.21 0.1
3.87 1.1
48.54 1.6
5.86 6.6
1.76 0.3
0.19 1
1.59 1.5
