follower_count,following_columns_count,following_count,mutual_followees_count
2,1,3,
2139,,,
16,170,,
71,309,,
16,49,285,
1,6,28,
26,5,728,
2,21,,
12089,7,12030,
14,79,,
5,108,,
13,4,23,
2,1,11,
160,,4938,
11,2,79,
,7,,
19,10,226,
,,46,
,,7,
1,23,,
19,507,,
26,165,,
420,27,158,
59441,,,
72,763,1,
365,,1079,
8,16,109,
6,1698,,
3,1,45,
3,,16,
1366,4,116,1
,2,41,
6,2652,,
1,,48,
,13,,
22,118,,
5,26,,
2,,63,
,1,19,
,,2,
36,8,282,
8,6,,
27,,4972,
,1,,
,1,,
2,11,,
,,12,
3,,104,
1,,13,
14,3,42,
4,7,110,
35240,1,7,
3,,43,
62,455,,
1,,15,
3,4,51,
138,69,,
1,143,,
24,342,,
12083,58,249,
3,395,,
53,53,4498,
2,53,,
2,49,,
23472,66,325,
53132,16,197,
74,,4972,
94392,105,366,2
2222,32,147,
,7,,
10,50,,
,,3,
,,2,
6,160,,
401,2,757,
,,1,
15,1,35,
,,11,
3,,9,
2,6,140,
,13,1,
154,159,,
,20,,
514,1,10,
9,88,,
3,80,,
6,62,,
40,5,1428,
67,19,918,
13716,,274,
138,1409,,
7584,5,9,
698,,25,
2735,,3,
23,,5,
11,4,306,
12,7,188,
72,522,2,
,2164,,
219,8,95,
9944,28,285,
4,20,,
224,,26,
,,1,
,4,2,
1,1,27,
9,317,,
6,,246,
,,4,
68,,1,
155496,,129,1
2,3,45,
3,50,,
,,4,
118,4,139,
5,1,33,
107,1,1690,
44,900,,
2,215,,
1,,13,
20,198,,
16,244,,
18,370,1,
15303,23,335,1
,71,,
30,,5,
151,22,287,
3,7,61,
16,212,,
5934,97,212,
16,338,,
25600,12,138,1
3,4,425,
,1,,
,3305,,
,50,,
2,51,,
24,17,76,
4122,7,498,
183,3,63,
23,9,1579,
12,1,97,
11,1218,,
,18,,
30,5000,,
2,25,,
1347,,,
2,1,261,
295,638,,
,18,188,
,3,109,
,1952,,
14,239,,
41878,8,65,
13,170,1,
8283,,1,1
899,,1,
1,,35,
,,30,
3239,25,741,1
5,17,,
,102,,
2,12,94,
1,1,69,
,1,17,
6,111,,
10,,,
1,29,,
3,13,44,
3,,23,
150,10,12,
1,,3,
,2,,
7,,17,
,15,,
,,8,
1,11,,
2775,6,4823,
8,12,,
,11,172,
9,168,,
,4,90,
,1,32,
,,17,
1,2,53,
23,4,1179,
,15,,
,4,10,
17517,1,12,
82658,69,415,
6661,199,852,
4,219,,
15469,7,25,
1,23,523,
24448,40,513,
,,155,
1236,,3,
457,10,36,
63,347,,
83054,,10,2
,98,,
,1,6,
3,17,,
5,62,,
,29,,
,66,,
2076,56,166,
1688,25,39,
,,5,
1,15,45,
33135,6,15,
,1,2,
5737,4,29,
70,489,,
3,1,17,
46,2,886,
1,,42,
25,1610,,
6,76,,
,,46,
,1,,
,12,160,
4,28,,
14,391,,
,4,25,
,1,,
,2,164,
1,,16,
,2,61,
6,4,192,
20,281,2,
1,1,4,
2,4,26,
1,,40,
11,,123,
1,1237,1,
5,10,,
4,75,,
6,210,,
6,308,1,
,68,2,
5091,4,739,
17,,42,
58,7,64,
3,,38,
205,1,36,
,1,14,
,8,72,
1,,2,
262,6,193,
1,127,,
173,61,407,
1,12,16,
147,29,150,
2,,4,
25,95,,
,25,,
16,195,,
14389,4,22,
,60,,
25802,3,60,
1,4,39,
123,1,10,
,8,4,
42,2,362,
428,6,333,
6,116,,
,,35,
40,4,236,
7627,2,73,
17,99,,
,,7,
4,237,1,
,,15,
10,2,541,
,2,,
40,11,93,
,252,,
1,2,16,
,,2,
,3,,
3,106,,
1043,34,519,
202,6,4463,
1,32,,
41,365,3185,
25,131,1,
55,1152,,
39386,135,369,
15,27,650,
8,134,,
446,,17,
,1,10,
2,34,,
2,,11,
1996,20,189,
138,2,3672,
3,,3,
,12,,
,6,,
93,11,1557,
2,12,,
1,108,,
5,2,205,
18869,19,294,
15312,39,202,
,8,203,
81,17,233,
5,1,18,
,,14,
1,,62,
7,,26,
,4,103,
5,158,,
19,1,438,
,1,39,
1,11,91,
29,1,148,
,,38,
3,,371,
2,3,28,
124,,23,
24,1025,,
1,1,6,
11,4,414,
,,,
3,6,25,
134842,31,182,2
107,,,
1,224,,
28,,149,
2,21,152,
29,54,981,
,,17,
248,,,
52,2,24,
1,,47,
8,110,,
,,5,
6,1,28,
100,,4896,
,2450,,
2,92,,
1,151,,
19,,686,
2946,1,11,
2609,5,40,
,,11,
11322,1,36,
1,17,,
16530,3,17,
641,7,844,
4285,13,118,
25,,248,
18,1003,,
30,437,,
1,,4,
,,9,
24,1,27,
1693,,11,
,1,8,
127566,26,171,
,53,,
2,21,,
476,51,673,
25,224,,
,42,,
10,154,1204,
,,15,
2,,130,
5945,25,49,
,74,,
,,2,
20,99,976,
32,226,,
182,1,5000,
1,124,,
2,5,194,
2,,17,
,17,,
1,76,,
11,11,67,
22,4,543,
110,,747,
7,85,,
,10,,
,197,,
5,396,,
3,,195,
8,137,,
489,3,134,
1378,1,1401,
,,24,
1439,,11,
14176,77,180,
94,62,460,
150,5,173,
4,4,91,
1,3,214,
,,1,
7,,24,
664,1,4976,
8,54,,
,,22,
,5,,
11,3,16,
3,58,,
17,5,60,
5,92,148,
25,99,,
7,74,,
,,4,
,,2,
54,285,1,
,,10,
1,,16,
1,57,,
24,148,,
10,202,4,
,5,,
19,,19,
2,,20,
,4,,
117600,112,353,1
736,25,122,
2,2,62,
,32,,
16,487,,
,38,,
8,133,,
1773,7,309,
1125,61,1969,
8,66,1128,
2,2375,,
15147,1,15,
34,398,1,
10,71,,
4,7,71,
,,1,
574,4618,,
35,4,1141,
139624,10,154,
307,5,49,
,4,1,
,10,,
53,105,,
7,958,,
6308,1,,
,,1,
37,53,2951,
58341,11,109,
12,7,35,
2,17,173,
,4,175,
2,76,,
6,41,,
603,2,55,
9,3544,,
3,2,184,
4022,4,30,
11,9,211,
,7,,
,,26,
2,150,,
17,,37,
2,792,,
2,1921,,
10,113,,
2164,13,4297,
,1,2,
2,28,225,
43,291,,
2,,10,
420,21,620,
6,3,56,
,11,29,
22139,2,59,
4,248,,
2913,1,35,
7,155,,
1270,7,246,
234,29,110,
3,3,121,
206,,61,
3739,,1,
1,2,43,
94,1233,5000,
,2,37,
25,136,,
3,18,64,
4,130,,
17,273,,
129,119,5000,
92,11,321,
250,5,36,
66811,11,161,
729,,12,
,142,,
7,,92,
18,,516,
,84,,
26,11,120,
2,,26,
1,1,12,
,8,,
,3,,
2,10,284,
5,,29,
1,155,,
86,13,75,
,54,,
8,,1,
11,12,387,
176,11,1283,
8,261,,
736,,425,
1,,12,
22564,24,257,
218240,84,1036,3
342,,842,
,75,,
14202,2,35,
22,38,141,
,3,12,
1,61,,
737,6,349,
40,,614,
4,4,56,
1,7,,
2,82,,
68,102,1134,
,1,58,
,228,,
3,2,29,
,16,,
,4,,
17,98,,
1,4,97,
17,18,175,
3,59,,
27,,699,
,,4,
39,,2054,
,264,,
25,,1274,
22,25,,
20,221,,
2582,1,2,
21,58,458,
19,,45,
124,15,716,
268,13,149,
,2,16,
1,1,4,
9,6,42,
,,17,
,10,,
281,2,2,
5,7,212,
459,,29,
6,2,49,
6,49,,
19,9,1041,
23,26,72,
6,16,266,
5,4,75,
4,,13,
63,223,,
10,11,40,
,2,101,
,4977,,
74,,4969,
,3,21,
907,,4779,
7,51,864,
15,,6,
6,382,,
4,31,,
27,28,1309,
28,162,,
5,8,38,
97,959,3,
2,1,22,
141,167,2,
,2,86,
1,8,14,
35,,20,
8,29,,
40,18,3734,
14,,1094,
3,40,,
1,,4,
23,11,427,
1,,3,
1,12,1,
,4,20,
2,9,,
7,126,,
28,318,,
5,78,,
8,82,,
2,2,50,
2,70,3,
788746,69,262,7
19,173,1,
2,8,40,
14,115,,
1,4,18,
589206,40,616,5
,19,,
7,10,175,
,8,206,
28896,82,668,2
711,,16,
,,18,
1,43,,
,1,5,
,,6,
,,2,
3,,10,
21211,,16,
85157,22,80,
15,,112,
8,138,,
10,35,216,
,114,,
