follower_count,following_columns_count,following_count,mutual_followees_count
11,6,70,
31,3,1900,
15,91,,
19,29,2299,
145,73,3650,
,5,,
,12,,
59,22,2935,
78,1,4991,
,1,2,
19579,14,34,
4,179,,
,3,,
6,15,42,
,2,,
177,2620,,
4,2,47,
29,278,,
,12,8,
242,,,
1,30,,
260,,2,
42,29,1912,1
591,,1687,
3518,41,232,
20,11,44,
,3,,
3,34,,
,30,204,
166,11,183,
,,6,
7,120,,
,30,,
5,4,21,
,20,,
1,14,,
316979,135,523,2
16482,4,42,1
1,2,26,
53,25,47,
13,461,,
104,120,677,
6,,2,
1,1,13,
14,138,,
233,4,5,
,1,2,
2,6,114,
92951,2,195,
4,92,,
14924,6,360,
,,5,
1,21,,
,5,,
22,130,,
129,,4904,
42754,,8,1
1,10,,
8,4,153,
216,,,
47280,16,353,2
4,,53,
1,,9,
28,200,,
,24,,
207,1785,2,
122819,13,640,1
79159,123,374,1
,5,,
6,135,627,
,8,,
327,2,4,
1,36,,
1,73,,
2,2,129,
114,16,3807,
,1,7,
,,4,
15,197,,
55892,53,735,
,1,,
620,351,4978,
,2,5,
,2,,
1123,8,570,
27,49,1,
2,29,,
19563,5,23,
4353,,28,
26,217,2,
7076,25,121,
1,1,5,
,1,5,
,,1,
39773,19,293,
1814,2,18,
,,8,
2,83,,
,176,,
,,2,
,21,,
,,8,
,,1,
2914,,2,
2,1,20,
,3,,
5,8,708,
2,1,187,
2,38,426,
38,2,3119,
,,37,
,1,,
432,,,
,17,,
59,6,351,
1148,3,91,
2,106,,
3,23,254,
,285,,
35,11,1243,
2515,1,39,
1607,12,3353,
1020,,1,
3,3,,
6396,6,4885,
,7,,
579,8,16,
7,62,,
,14,,
12,3,97,
,6,92,
15,17,58,
219,1,17,
1,10,,
,,2,
1,43,,
1,,1,
10836,141,928,
2,1,222,
,23,,
4050,5,65,
119321,1,65,1
25,28,,
10799,,,
26,349,,
19,1,1822,
1,2,60,
8,,53,
18,3324,,
1,49,,
8,82,1725,
,439,,
1250,7,445,
,,,
234,1546,,
14,64,,
5,,84,
,8,,
5,4,453,
3,1,71,
108,836,,
25,240,,
2890,3,94,1
,,25,
1,39,,
120476,,49,
3,591,,
5,71,,
10,3438,,
6,1,103,
16,2,42,
,1,106,
5373,21,535,1
51,5,347,
2,70,,
,,1,
,,2,
133,,1753,
140,3709,,
8,410,,
,181,,
1,45,,
,,3,
,2,,
2771,34,4996,
11,1040,,
,13,,
2,9,,
,1,91,
28318,,1,
6835,3,22,
2,203,6,
11,10,524,
9,11,760,
4,222,,
13,101,,
,4,19,
6,180,,
2,37,,
,37,,
,,,
,17,,
1140,3,40,
33,467,2,
2,6,50,
1,5,55,
7,4,160,
14901,34,390,
,,79,
17,6,96,
,1,6,
56,102,857,
7,216,,
1,,47,
37,141,4535,
2,1,14,
,144,,
161,6,215,
5,7,569,
12,566,,
5,114,,
1,1,1,
34,166,,
91,18,918,
378,34,4998,
,4,20,
72,9,107,
,,68,
,6,29,
3,,33,
418,,2550,
463,1,284,
11,178,1,
78,72,564,
1,272,,
958,3,155,
,3,,
2,12,152,
219,3,184,
17,479,,
154,402,,
97651,6,188,
394,,2117,
11,,48,
,20,,
181,200,,
11,181,,
58,19,1549,
75,1,781,
10,3,43,
5,1636,,
2,8,74,
4,683,,
3,14,,
660,3,662,
34,2,502,
5,17,241,
3,,64,
2,14,133,
,5,30,
3,5,217,
91,,4914,
3,1,463,
3,1,38,
,1,10,
3,6,118,
537,163,4855,1
2,2,29,
,463,,
14,,478,
,1,6,
61,2,427,
5,67,,
